*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=bb2636pp0420
*Date=18:12:57
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
241;;THT;50.3044;-19.2898;90;Bottom;J16
242;;;4.06184;-14.3177;90;Bottom;TXT2
243;;;13.3904;-77.5596;-90;Bottom;TXT3
244;;;13.3551;-9.03043;-90;Bottom;TXT3
245;;THT;50.3171;-6.58444;90;Bottom;J5
246;;;38.7151;-9.07079;-90;Bottom;TXT3
247;;;28.7769;-44.6615;-90;Bottom;TXT3
248;;;56.8114;-77.6477;-90;Bottom;TXT3
249;;;46.6669;-37.0593;-90;Bottom;TXT3
250;;;71.9453;-37.168;-90;Bottom;TXT3
251;;;59.1764;-85.342;-90;Bottom;TXT3
252;;;77.4795;-93.1341;90;Bottom;Power plug
253;;;64.3278;-9.09365;-90;Bottom;TXT3
254;;;38.8358;-37.0509;-90;Bottom;TXT3
255;;;51.8169;-37.0986;-90;Bottom;TXT3
256;;;16.1415;-77.568;-90;Bottom;TXT3
257;;;21.377;-37.0582;-90;Bottom;TXT3
258;;;96.5504;-26.8922;-90;Bottom;TXT2
259;;;96.5549;-64.969;-90;Bottom;TXT2
260;;;82.1663;-44.819;-90;Bottom;TXT3
261;;;43.8303;-77.5999;-90;Bottom;TXT3
262;;;17.5415;-61.4483;0;Bottom;TXT6
263;;;4.02176;-67.597;90;Bottom;TXT2
264;;;4.0418;-24.4173;90;Bottom;TXT2
265;;;51.6961;-9.11848;-90;Bottom;TXT3
266;;THT;90.9309;-92.9416;90;Bottom;J38
267;;;59.4922;-89.9837;0;Bottom;TXT1
268;;;92.4781;-37.1906;-90;Bottom;TXT3
269;;;74.2248;-85.4112;-90;Bottom;TXT3
270;;;59.1764;-9.10183;-90;Bottom;TXT3
271;;;76.9759;-9.17944;-90;Bottom;TXT3
272;;;96.5704;-16.8123;-90;Bottom;TXT2
273;;;92.3977;-44.8106;-90;Bottom;TXT3
274;;;21.2562;-85.3183;-90;Bottom;TXT3
275;;;5.87483;-9.04708;-90;Bottom;TXT3
276;;;28.7718;-77.5907;-90;Bottom;TXT3
277;;;36.3148;-9.08744;-90;Bottom;TXT3
278;;THT;65.5427;-90.4054;90;Bottom;J43
279;;;97.1963;-6.5742;0;Bottom;TXT1
280;;;97.8308;-97.8429;0;Bottom;Hole1
281;;;84.647;-37.1824;-90;Bottom;TXT3
282;;;96.5704;-29.4319;-90;Bottom;TXT2
283;;;84.5262;-9.2023;-90;Bottom;TXT3
284;;;46.5814;-77.6083;-90;Bottom;TXT3
285;;;96.5504;-31.9318;-90;Bottom;TXT2
286;;;4.00173;-70.0969;90;Bottom;TXT2
287;;;4.0418;-11.7576;90;Bottom;TXT2
288;;;96.5247;-47.1966;-90;Bottom;TXT2
289;;THT;65.556;-92.9445;90;Bottom;J42
